URL,Model Name,Model ID,Modified At,Size,Digest,Family,Families,Parameter Size,Quantization Level
http://114.32.141.218:11434/api/tags,gemma2:latest,gemma2:latest,2024-07-03T17:51:49.444183557+08:00,5443152547,c19987e1e6e2a6170489e75835230d1c030da7cd1252931961f90fe1d28d198c,gemma2,gemma2,9.2B,Q4_0
http://61.219.81.194:11434/api/tags,qwen2.5:latest,qwen2.5:latest,2025-02-09T21:56:37.700969619+08:00,4683087332,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,qwen2,qwen2,7.6B,Q4_K_M
http://61.219.81.194:11434/api/tags,deepseek-r1:8b,deepseek-r1:8b,2025-02-09T17:20:29.796809364+08:00,4920738407,28f8fd6cdc677661426adab9338ce3c013d7e69a5bea9e704b364171a5d61a10,llama,llama,8.0B,Q4_K_M
http://61.219.81.194:11434/api/tags,llama3:latest,llama3:latest,2025-01-24T14:37:01.797670713+08:00,4661224676,365c0bd3c000a25d28ddbf732fe1c6add414de7275464c4e4d1c3b5fcb5d8ad1,llama,llama,8.0B,Q4_0
http://61.219.81.194:11434/api/tags,bge-m3:latest,bge-m3:latest,2025-01-23T14:28:29.766589716+08:00,1157672605,7907646426070047a77226ac3e684fbbe8410524f7b4a74d02837e43f2146bab,bert,bert,566.70M,F16
http://61.219.81.194:11434/api/tags,nomic-embed-text:latest,nomic-embed-text:latest,2025-01-23T12:11:56.696387238+08:00,274302450,0a109f422b47e3a30ba2b10eca18548e944e8a23073ee3f3e947efcf3c45e59f,nomic-bert,nomic-bert,137M,F16
http://61.219.81.194:11434/api/tags,mistral:latest,mistral:latest,2025-01-22T14:45:35.717702429+08:00,4113301824,f974a74358d62a017b37c6f424fcdf2744ca02926c4f952513ddf474b2fa5091,llama,llama,7.2B,Q4_0
http://13.229.146.167:11434/api/tags,qwen2.5:1.5b,qwen2.5:1.5b,2025-01-01T22:10:38.66143739Z,986061892,65ec06548149b04c096a120e4a6da9d4017ea809c91734ea5631e89f96ddc57b,qwen2,qwen2,1.5B,Q4_K_M
http://13.229.146.167:11434/api/tags,qwen2.5:0.5b,qwen2.5:0.5b,2025-01-01T19:07:27.387803743Z,397821319,a8b0c51577010a279d933d14c2a8ab4b268079d44c5c8830c0a93900f1827c67,qwen2,qwen2,494.03M,Q4_K_M
http://13.229.146.167:11434/api/tags,qwen:0.5b,qwen:0.5b,2024-09-27T19:12:09.342251473Z,394998579,b5dc5e784f2a3ee1582373093acf69a2f4e2ac1710b253a001712b86a61f88bb,qwen2,qwen2,620M,Q4_0
